Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2015-08-10 21:22:55,Running,,3.09,21:59,7:07,8.44,416.0,29.11,,,2015-08-10-2122.gpx
2015-08-09 12:04:02,Running,,4.46,32:25,7:16,8.25,597.0,36.30,,,2015-08-09-1204.gpx
2015-08-04 21:54:55,Running,,3.52,25:49,7:20,8.19,485.0,34.20,,,2015-08-04-2154.gpx
2015-08-03 21:55:31,Running,,3.21,23:38,7:22,8.14,426.0,29.05,,,2015-08-03-2155.gpx
2015-08-02 15:26:00,Running,,5.05,37:15,7:23,8.13,694.0,39.71,,,2015-08-02-1526.gpx
2015-07-31 10:15:50,Running,,5.14,36:40,7:08,8.41,690.0,38.89,,,2015-07-31-1015.gpx
2015-07-28 22:30:54,Running,,3.33,46:12,13:51,4.33,607.0,383.00,,,2015-07-28-2230.gpx
2015-07-27 10:57:32,Running,,3.25,22:38,6:58,8.61,413.0,30.08,,,2015-07-27-1057.gpx
2015-07-25 12:02:31,Running,,9.90,1:53:30,11:28,5.23,1369.0,613.23,,"Woooooo 5 miles turned to 10",2015-07-25-1202.gpx
2015-07-20 20:39:31,Running,,3.81,28:01,7:21,8.16,516.0,37.14,,,2015-07-20-2039.gpx
2015-07-18 19:35:04,Running,,5.12,37:29,7:19,8.20,705.0,40.53,,,2015-07-18-1935.gpx
2015-07-15 20:36:46,Running,,5.58,40:14,7:12,8.33,739.0,42.74,,,2015-07-15-2036.gpx
2015-07-12 20:32:19,Running,,2.97,20:39,6:58,8.62,396.0,27.35,,,2015-07-12-2032.gpx
2015-07-11 16:25:30,Running,,4.89,38:56,7:57,7.54,736.0,333.35,,,2015-07-11-1625.gpx
2015-07-10 10:38:26,Running,,4.30,31:04,7:14,8.30,622.0,131.24,,,2015-07-10-1038.gpx
2015-07-08 20:40:20,Running,,4.34,32:03,7:24,8.12,595.0,35.59,,,2015-07-08-2040.gpx
2015-07-04 11:07:29,Running,,2.30,19:17,8:22,7.17,340.0,85.27,,"With kuet",2015-07-04-1107.gpx
2015-07-04 11:01:41,Running,,0.56,5:26,9:42,6.19,82.0,14.89,,,2015-07-04-1101.gpx
2015-07-03 15:50:16,Running,,5.27,47:15,8:57,6.70,778.0,196.72,,,2015-07-03-1550.gpx
2015-06-30 15:15:21,Running,,8.10,1:27:49,10:51,5.53,1155.0,431.82,,,2015-06-30-1515.gpx
2015-06-28 22:27:10,Running,,3.03,22:25,7:24,8.11,411.0,25.86,,,2015-06-28-2227.gpx
2015-06-27 16:19:16,Running,,5.07,42:34,8:24,7.14,715.0,100.23,,,2015-06-27-1619.gpx
2015-06-20 17:56:02,Running,,2.96,23:03,7:48,7.69,437.0,91.84,,,2015-06-20-1756.gpx
2015-06-20 17:39:01,Running,,2.18,16:01,7:21,8.16,307.0,37.25,,,2015-06-20-1739.gpx
2015-06-17 21:03:02,Running,,5.03,36:34,7:16,8.25,694.0,38.15,,,2015-06-17-2103.gpx
2015-06-14 12:42:41,Running,,3.16,23:09,7:20,8.19,432.0,27.36,,,2015-06-14-1242.gpx
2015-06-10 08:36:19,Running,,3.06,23:21,7:37,7.87,451.0,118.87,,"Humid wet morning!",2015-06-10-0836.gpx
2015-06-07 12:37:26,Running,,6.40,55:14,8:38,6.95,858.0,48.79,," overestimated temperature underestimated stamina",2015-06-07-1237.gpx
2015-05-28 19:20:24,Running,,4.34,31:03,7:09,8.39,587.0,36.30,,"No pre run workout",2015-05-28-1920.gpx
2015-05-25 17:55:16,Running,,3.51,25:25,7:15,8.28,473.0,50.24,,"New odd path",2015-05-25-1755.gpx
2015-05-23 15:54:01,Running,,4.28,32:44,7:39,7.84,576.0,34.50,,"Warmer out than I realized",2015-05-23-1554.gpx
2015-05-21 20:16:24,Running,,1.21,11:32,9:33,6.28,165.0,12.82,,"Run with Harvinder after happy hour",2015-05-21-2016.gpx
2015-05-20 17:59:01,Running,,5.84,44:59,7:42,7.79,790.0,45.10,,,2015-05-20-1759.gpx
2015-05-14 11:09:31,Running,,3.43,25:04,7:18,8.22,454.0,31.67,,,2015-05-14-1109.gpx
2015-05-09 12:53:24,Running,,4.08,30:44,7:32,7.96,553.0,37.37,,,2015-05-09-1253.gpx
2015-05-06 20:04:26,Running,,4.36,34:05,7:49,7.67,579.0,36.55,,"Good start , slow ending",2015-05-06-2004.gpx
2015-05-02 12:52:49,Running,,1.27,35:03,27:32,2.18,170.0,2.94,,,2015-05-02-1252.gpx
2015-04-30 20:30:00,Running,,4.34,32:54,7:35,7.91,583.0,38.33,,,2015-04-30-2030.gpx
2015-04-25 14:25:18,Running,,2.74,20:04,7:19,8.19,370.0,22.88,,,2015-04-25-1425.gpx
2015-04-23 19:27:42,Running,,4.32,35:32,8:14,7.29,566.0,33.58,,,2015-04-23-1927.gpx
2015-04-21 19:22:39,Running,,4.24,44:04,10:24,5.77,572.0,30.41,,,2015-04-21-1922.gpx
